Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Adj Factor,Price_Increase
1980-11-18,17.118785858,17.357791901,17.118785858,17.20841217,1.175033419,3575646.0,0.0,1,0.068282501,Up
1980-11-19,17.20841217,17.387666702,17.029159546,17.059034348,1.164833527,2695751.0,0.0,4,0.068282501,Down
1980-11-20,17.059034348,17.268163681,16.879779816,17.20841217,1.175033419,2020035.0,0.0,5,0.068282501,Up
1980-11-21,17.118785858,17.118785858,16.760276794,16.820028305,1.148513597,1580715.0,0.0,6,0.068282501,Down
1980-11-24,16.820028305,16.820028305,16.610898972,16.820028305,1.148513597,2153923.0,0.0,8,0.068282501,Down
1980-11-25,16.820028305,16.879779816,16.610898972,,1.134233723,1968572.0,0.0,0,0.068282501,Down
1980-11-26,16.610898972,16.670650482,16.401769638,16.43164444,1.121993775,2207897.0,0.0,1,0.068282501,Down
1980-11-28,16.43164444,16.461519241,16.162763596,16.282266617,1.111793884,1687407.0,0.0,3,0.068282501,Down
1980-12-01,16.252389908,16.252389908,15.893880844,15.893880844,,2096184.0,,7,0.068282501,Down
1980-12-02,15.893880844,,15.834130287,16.222513199,1.107713771,2581946.0,0.0,6,0.068282501,Up
1980-12-03,16.222513199,16.49139595,16.132886887,16.252389908,1.109753828,2343040.0,0.0,6,0.068282501,Up
1980-12-04,16.252389908,16.610898972,,16.34201622,1.115873737,2337601.0,0.0,2,0.068282501,Up
1980-12-05,16.34201622,16.461519241,16.132886887,16.132886887,1.101593863,2008320.0,0.0,1,,Down
1980-12-08,16.073135376,16.073135376,15.774378777,15.864006042,1.083234006,,0.0,10,0.068282501,Down
1980-12-09,15.864006042,15.953633308,15.684750557,15.804253578,1.079153958,3663092.0,0.0,7,0.068282501,Down
1980-12-10,15.804253578,15.893880844,15.236616135,,1.040394254,2040118.0,0.0,6,0.068282501,Down
1980-12-11,15.236616135,15.415869713,15.117113113,15.415869713,1.052634137,3030471.0,0.0,3,0.068282501,Up
1980-12-12,15.415869713,15.774378777,15.385993958,15.714627266,,2546801.0,0.0,2,0.068282501,Up
1980-12-15,,15.864006042,15.415869713,15.415869713,1.052634137,1408334.0,0.0,10,0.068282501,Down
1980-12-16,15.415869713,15.834130287,15.385993958,15.834130287,1.081194015,1914598.0,0.0,10,0.068282501,Up
,15.774378777,15.774378777,,15.595124245,1.064874085,2135514.0,,0,0.068282501,Down
1980-12-18,15.595124245,,15.206740379,15.206740379,1.038354263,2739683.0,0.0,0,0.068282501,Down
